period;warehouse;sku;quantity
01.09.2025;ozon;3FRW5050H;59
01.09.2025;ozon;3FRW6040H;166
01.09.2025;ozon;3FRW6045H;17
01.09.2025;ozon;3FRW6540H;83
01.09.2025;ozon;3FRW6545H;34
01.09.2025;ozon;8450031975-01;501
01.09.2025;ozon;D911001;12
01.09.2025;ozon;D911002;26
01.09.2025;ozon;D911004;348
01.09.2025;ozon;D911005;92
01.09.2025;ozon;D911006;114
01.09.2025;ozon;D911007;98
01.09.2025;ozon;D911008;178
01.09.2025;ozon;D911009;366
01.09.2025;ozon;D911010;68
01.09.2025;ozon;D911011;130
01.09.2025;ozon;D911012;25
01.09.2025;ozon;D911013;163
01.09.2025;ozon;D911014;8
01.09.2025;ozon;D911015;528
01.09.2025;ozon;D911016;148
01.09.2025;ozon;D911017;109
01.09.2025;ozon;D911018;209
01.09.2025;ozon;D911019;58
01.09.2025;ozon;D911020;64
01.09.2025;ozon;D911021;293
01.09.2025;ozon;D921001;115
01.09.2025;ozon;D921002;427
01.09.2025;ozon;DFRW5050;50
01.09.2025;ozon;DFRW5540;0
01.09.2025;ozon;DFRW5545;92
01.09.2025;ozon;DFRW5547B;81
01.09.2025;ozon;DFRW5547H;145
01.09.2025;ozon;DFRW6038;1
01.09.2025;ozon;DFRW6040H;143
01.09.2025;ozon;DFRW6040P6;143
01.09.2025;ozon;DFRW6040P9;69
01.09.2025;ozon;DFRW6042;9
01.09.2025;ozon;DFRW6045H;234
01.09.2025;ozon;DFRW6045P;97
01.09.2025;ozon;DFRW6045V;381
01.09.2025;ozon;DFRW6050;103
01.09.2025;ozon;DFRW6535B;95
01.09.2025;ozon;DFRW6535H;82
01.09.2025;ozon;DFRW6540;161
01.09.2025;ozon;DFRW6542;270
01.09.2025;ozon;DFRW6545;47
01.09.2025;ozon;DFRW6550;43
01.09.2025;ozon;DFRW7035;55
01.09.2025;ozon;FRW5050;45
01.09.2025;ozon;FRW5545;45
01.09.2025;ozon;FRW5547B;1
01.09.2025;ozon;FRW6040H;117
01.09.2025;ozon;FRW6040P6;14
01.09.2025;ozon;FRW6040P9;42
01.09.2025;ozon;FRW6042;4
01.09.2025;ozon;FRW6045H;84
01.09.2025;ozon;FRW6045P;1
01.09.2025;ozon;FRW6045V;69
01.09.2025;ozon;FRW6050;19
01.09.2025;ozon;FRW6535B;37
01.09.2025;ozon;FRW6535H;28
01.09.2025;ozon;FRW6542;0
01.09.2025;ozon;FRW6545;30
01.09.2025;ozon;FRW6550;31
01.09.2025;ozon;LS-VODRKA;186
01.09.2025;ozon;LS-VODRL;3
01.09.2025;ozon;LS-VODUNSL;2
01.09.2025;ozon;M01ALSU00167;1171
01.09.2025;ozon;M01ALSU00185;210
01.09.2025;ozon;M01ALSU00187;255
01.09.2025;ozon;M01LINK10101-2;1
01.09.2025;ozon;M01LINK10102;77
01.09.2025;ozon;M01LINK10102-2;157
01.09.2025;ozon;M01LINK10103;23
01.09.2025;ozon;M01LINK10103-2;25
01.09.2025;ozon;M01LINK10104;10
01.09.2025;ozon;M01LINK10104-2;0
01.09.2025;ozon;M01LINK10105;12
01.09.2025;ozon;M01LINK10105-2;8
01.09.2025;ozon;M01LINK10106;16
01.09.2025;ozon;M01LINK10106-2;5
01.09.2025;ozon;M01LINK10108;38
01.09.2025;ozon;M01LINK10108-2;12
01.09.2025;ozon;M01LINK10109;1
01.09.2025;ozon;M01TEXT10102;457
01.09.2025;ozon;M01TEXT10102_2;180
01.09.2025;ozon;M01VXSU00130;2384
01.09.2025;ozon;M02ALSU00336;0
01.09.2025;ozon;M105ALSU00326;3166
01.09.2025;ozon;M111001;298
01.09.2025;ozon;M111002;0
01.09.2025;ozon;M111003;117
01.09.2025;ozon;M111004;1
01.09.2025;ozon;M111005;0
01.09.2025;ozon;M111007;3
01.09.2025;ozon;M111009;0
01.09.2025;ozon;M111010;0
01.09.2025;ozon;M111011;0
01.09.2025;ozon;M111012;0
01.09.2025;ozon;M111013;1
01.09.2025;ozon;M111014;0
01.09.2025;ozon;M111015;0
01.09.2025;ozon;M111016;0
01.09.2025;ozon;M111019;31
01.09.2025;ozon;M111020;385
01.09.2025;ozon;M111021;420
01.09.2025;ozon;M111022;47
01.09.2025;ozon;M111023;111
01.09.2025;ozon;M111024;92
01.09.2025;ozon;M111025;26
01.09.2025;ozon;M111026;122
01.09.2025;ozon;M111027;87
01.09.2025;ozon;M111028;101
01.09.2025;ozon;M111029;101
01.09.2025;ozon;M111030;7
01.09.2025;ozon;M111031;41
01.09.2025;ozon;M111032;8
01.09.2025;ozon;M111033;5
01.09.2025;ozon;M111034;8
01.09.2025;ozon;M111035;3
01.09.2025;ozon;M111036;6
01.09.2025;ozon;M111037;6
01.09.2025;ozon;M112001;347
01.09.2025;ozon;M112002;279
01.09.2025;ozon;M112003;11
01.09.2025;ozon;M112004;1
01.09.2025;ozon;M112005;9
01.09.2025;ozon;M112006;5
